change_type,worksheet,cell,historical_formula,active_formula
CHANGED,Equity_NCF_Con,X14,='Project_NCF_Con (2)'!X14*'Equity Dash'!$C$4,=Project_NCF!X14*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X15,='Project_NCF_Con (2)'!X15*'Equity Dash'!$C$4,=Project_NCF!X15*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X16,='Project_NCF_Con (2)'!X16*'Equity Dash'!$C$4,=Project_NCF!X16*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X17,='Project_NCF_Con (2)'!X17*'Equity Dash'!$C$4,=Project_NCF!X17*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X18,='Project_NCF_Con (2)'!X18*'Equity Dash'!$C$4,=Project_NCF!X18*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X19,='Project_NCF_Con (2)'!X19*'Equity Dash'!$C$4,=Project_NCF!X19*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X20,='Project_NCF_Con (2)'!X20*'Equity Dash'!$C$4,=Project_NCF!X20*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X21,='Project_NCF_Con (2)'!X21*'Equity Dash'!$C$4,=Project_NCF!X21*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X22,='Project_NCF_Con (2)'!X22*'Equity Dash'!$C$4,=Project_NCF!X22*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,X23,='Project_NCF_Con (2)'!X23*'Equity Dash'!$C$4,=Project_NCF!X23*'Equity Dash'!$C$4
